filename,size_KB,compress_ratio,SNR,PSNR,SSIM,PSNR2MOS,SSIM2MOS
flower/flower_gimp80.ppm ,137.1240234375,44.3029590855678,31.6336370841335,37.6057902635021,0.971566229161545,83.6875601184879,76.9057072849071
flower/flower_gimp90.ppm ,245.708984375,24.7243706429894,32.1712012472225,38.14149665859,0.971910359226594,84.76106880268,77.0867314811128
flower/flower_gimp91.ppm ,269.021484375,22.581839566136,32.1574261314944,38.1282618923915,0.971206332606576,84.7346176288413,76.7170841731829
flower/flower_gimp92.ppm ,285.0390625,21.3128683020419,31.9579990178191,37.9283898976325,0.969682538913861,84.334745123931,75.9262662187725
flower/flower_gimp93.ppm ,323.1630859375,18.79855795527,32.3539903359429,38.3070055992528,0.970658255238727,85.0915946764209,76.4311932536918
flower/flower_gimp94.ppm ,372.275390625,16.3185645707091,32.2752583448039,38.2312008331038,0.969776158187122,84.9402696462437,75.9744908556013
flower/flower_gimp95.ppm ,445.216796875,13.6450377493409,31.7941290293046,37.7517951982536,0.965369253763581,83.9807603360563,73.7547322458056
flower/flower_gimp96.ppm ,560.1103515625,10.8460769972435,31.3354840238856,37.313947351634,0.961922770549652,83.099872146402,72.0883820354672
flower/flower_gimp97.ppm ,655.7646484375,9.2639943529664,31.9593835153199,37.9357734344511,0.96659420076472,84.3495310177229,74.3615386616821
flower/flower_gimp98.ppm ,831.6484375,7.30476933049008,31.2953900770517,37.2737793618614,0.960651908479149,83.018800182723,71.4888502298652
flower/flower_gimp99.ppm ,1468.568359375,4.13668179708395,28.918429032666,34.8990099199784,0.93145273647632,78.0872408528574,59.67518013781
flower/flower_gimp100.ppm,1607.736328125,3.77860467150412,33.4088993468916,39.3950799019889,0.975651912045998,87.2548659790453,79.0975146631217
