filename,size_KB,compress_ratio,SNR,PSNR,SSIM,PSNR2MOS,SSIM2MOS
wedding/wedding_gimp80.ppm ,146.0556640625,41.5937309860191,27.0365748735723,31.7534650308689,0.909117577102268,70.2726474133889,52.7330868978329
wedding/wedding_gimp90.ppm ,243.64453125,24.9338656149295,28.0019793749536,32.7378701550979,0.910900208481162,73.0189645861818,53.232094627022
wedding/wedding_gimp91.ppm ,262.6298828125,23.1314119130044,28.0483179046527,32.7882994061095,0.908917110746777,73.1497998029537,52.6775187585763
wedding/wedding_gimp92.ppm ,281.2177734375,21.6024752836263,27.8923027326659,32.634059074699,0.905133374616986,72.7469898005628,51.6490192409292
wedding/wedding_gimp93.ppm ,315.33203125,19.2654072468256,28.5943991446439,33.3072303630933,0.910223583400701,74.4520957941941,53.0416520550198
wedding/wedding_gimp94.ppm ,357.931640625,16.9725146103099,28.717430306876,33.4362943201557,0.910343497603268,74.7648284564541,53.0753101555956
wedding/wedding_gimp95.ppm ,430.529296875,14.1105379914803,28.4319526878634,33.1545213935249,0.898940694177481,74.0766637189791,50.0459063865669
wedding/wedding_gimp96.ppm ,512.8447265625,11.8456906844291,28.3823271748958,33.1361823027483,0.900335897810461,74.031163827793,50.3986772197322
wedding/wedding_gimp97.ppm ,590.9462890625,10.2801220896701,29.3959790711694,34.1479785206124,0.918211252156533,76.425275678919,55.3735840303802
wedding/wedding_gimp98.ppm ,757.3359375,8.02153931854053,28.4229501023035,33.1780964597927,0.89601185568791,74.1350212446249,49.3207305779488
wedding/wedding_gimp99.ppm ,1368.078125,4.44053587948422,25.3455533905647,30.1000676298737,0.813598743488176,64.4917422139075,35.1937455609348
wedding/wedding_gimp100.ppm,1501.33984375,4.04638565031756,30.0532274746306,34.8190918048064,0.920970458109682,77.913825788585,56.2232734017057
