filename,size_KB,compress_ratio,SNR,PSNR,SSIM,PSNR2MOS,SSIM2MOS
flower/flower_gimp80.ppm ,167.41015625,36.2881209604032,32.1243021248082,38.0747744892242,0.972207584361237,84.6276839541674,77.2436066987607
flower/flower_gimp90.ppm ,286.6533203125,21.192847141548,33.5822239696256,39.5328776023569,0.977797831709493,87.5279117426927,80.2867797146882
flower/flower_gimp91.ppm ,310.1904296875,19.5847434948919,33.7477845253421,39.6987482783317,0.978387949284815,87.8563758603826,80.6185313739134
flower/flower_gimp92.ppm ,328.4921875,18.4935905058625,33.8036134753081,39.7543995137523,0.978335062121526,87.9665311968923,80.588715650661
flower/flower_gimp93.ppm ,369.1298828125,16.4576217826445,34.1988000290783,40.1388884956217,0.97938045391532,88.7270005183848,81.1811398233065
flower/flower_gimp94.ppm ,419.275390625,14.4892835015768,34.3483612708434,40.2896528047921,0.979858455130333,89.0249439507339,81.4541914992487
flower/flower_gimp95.ppm ,488.4638671875,12.4369485812306,34.3379049236625,40.2798969647991,0.979282758223682,89.0056680980323,81.1255005181072
flower/flower_gimp96.ppm ,598.6279296875,10.1482067553569,34.3760472885393,40.3299571779203,0.979574957373959,89.1045730013136,81.2920823646882
flower/flower_gimp97.ppm ,695.203125,8.73845323983548,35.1214414915523,41.0744119481362,0.982632315767218,90.5740295162591,83.0659949350936
flower/flower_gimp98.ppm ,863.98046875,7.03140894931255,35.2250865188145,41.1793081855792,0.982747013221847,90.7809059908995,83.1336558886342
flower/flower_gimp99.ppm ,1269.2294921875,4.78636845219364,34.5441163383707,40.5024689715199,0.979047409735276,89.4453086752782,80.9916991642019
flower/flower_gimp100.ppm,1386.703125,4.38089443261333,37.6902189552927,43.649154436652,0.990590478498903,95.6449583943657,87.9590654256267
