filename,size_KB,compress_ratio,SNR,PSNR,SSIM,PSNR2MOS,SSIM2MOS
wedding/wedding_gimp80.ppm ,226.375,26.8360022087245,30.7983522614493,35.4762932273297,0.94306747886459,79.3207275562299,63.9547181268661
wedding/wedding_gimp90.ppm ,355.5146484375,17.0879034849896,32.8459393252429,37.5242731867066,0.958914421087522,83.5236351528515,70.6818932011568
wedding/wedding_gimp91.ppm ,377.1171875,16.1090509829919,33.1332338289658,37.8123000533553,0.961040050982439,84.1021189503584,71.671117910395
wedding/wedding_gimp92.ppm ,400.8544921875,15.1551251598758,33.4056113271213,38.0848638611421,0.96266662746734,84.6478590392492,72.4429913287502
wedding/wedding_gimp93.ppm ,440.98046875,13.7761203284584,34.0419852300752,38.7123081691421,0.966264334701721,85.8991527658061,74.1973689029612
wedding/wedding_gimp94.ppm ,488.7265625,12.4302635995972,34.5197890250002,39.1914028610596,0.96911373046622,86.8509640547508,75.634275451215
wedding/wedding_gimp95.ppm ,563.0703125,10.7890610908385,34.8926547486063,39.5650867106596,0.970352055485083,87.5917108016495,76.2721827026917
wedding/wedding_gimp96.ppm ,649.421875,9.35447393114068,35.4237754535967,40.1060558327873,0.97392353825008,88.662098598147,78.1588743687971
wedding/wedding_gimp97.ppm ,735.9814453125,8.25428417889059,36.4710679856782,41.1531570643009,0.979315404492927,90.7293341614384,81.144086774048
wedding/wedding_gimp98.ppm ,906.5849609375,6.70097151591599,36.6313977186359,41.3143645847758,0.978511927918913,91.0472118371811,80.688490442272
wedding/wedding_gimp99.ppm ,1312.3486328125,4.62910529116081,35.7968972235028,40.4813967135412,0.969718945308155,89.4036958547914,75.9450140779766
wedding/wedding_gimp100.ppm,1442.173828125,4.21239096253621,38.856882249144,43.542494815545,0.986357990207424,95.4350792570202,85.3059351712609
