filename,size_KB,compress_ratio,SNR,PSNR,SSIM,PSNR2MOS,SSIM2MOS
character/character_gimp80.ppm ,155.1181640625,39.1636919938807,25.4884478392226,36.0196638880627,0.973954323922354,80.4568814767001,78.1754454100414
character/character_gimp90.ppm ,268.181640625,22.6525573706021,27.0628710713681,37.5903009869712,0.977336859521156,83.656425153821,80.0290526948845
character/character_gimp91.ppm ,292.125,20.795892169448,27.282304563017,37.8109819619924,0.977929894272544,84.0994760339697,80.3608446131789
character/character_gimp92.ppm ,313.2978515625,19.3904936459103,27.4085914383259,37.9366335612586,0.977665355936167,84.3512533909867,80.2125858654747
character/character_gimp93.ppm ,351.708984375,17.2728029987505,27.9407711747148,38.4509644351808,0.979659480501061,85.3787123645992,81.3403638680329
character/character_gimp94.ppm ,401.1279296875,15.1447943421261,28.2273378212322,38.7401870650129,0.979846380496541,85.954615118305,81.4472771880467
character/character_gimp95.ppm ,484.150390625,12.5477539988301,28.2616686497639,38.7755676778838,0.978374856390125,86.0249868652178,80.6111485721349
character/character_gimp96.ppm ,595.4443359375,10.2024650052892,28.506368369328,39.0389352737952,0.978228173967599,86.5483418490058,80.52850664423
character/character_gimp97.ppm ,693.4833984375,8.76012318923235,29.5318887629085,40.0644509393766,0.98178149475568,88.579846879295,82.5666198778415
character/character_gimp98.ppm ,921.458984375,6.59280565170299,29.1838067691826,39.7162482226648,0.978913510536079,87.8910175127861,80.9157212385012
character/character_gimp99.ppm ,1610.7939453125,3.77143210506756,27.5000724284978,38.0307801030567,0.963493425379184,84.5396884439053,72.840373567099
character/character_gimp100.ppm,1818.833984375,3.34005195206836,31.7742835579755,42.3110301205405,0.98555887559985,93.0109887560439,84.8180954691613
