filename,size_KB,compress_ratio,SNR,PSNR,SSIM,PSNR2MOS,SSIM2MOS
flower/flower_gimp80.ppm ,145.52734375,41.7447322507046,32.5310209216393,38.4895376771451,0.974978328425061,85.4555894496781,78.7296879606322
flower/flower_gimp90.ppm ,257.296875,23.610858079796,33.5184953722878,39.4739144403195,0.977958404524119,87.4110964347763,80.3768475136437
flower/flower_gimp91.ppm ,281.3720703125,21.5906290672451,33.5967590350326,39.5526317508135,0.97798236781747,87.5670413160404,80.3903018856395
flower/flower_gimp92.ppm ,297.818359375,20.3983394870248,33.5206736829391,39.4763542553857,0.977452625958181,87.4159306778616,80.0936601956992
flower/flower_gimp93.ppm ,336.9853515625,18.0274898354841,33.8811982964114,39.8234854182704,0.978212746699979,88.1032474642832,80.5198221840706
flower/flower_gimp94.ppm ,387.2314453125,15.6882920370721,33.9004318809897,39.8441422882877,0.977912757248077,88.144119405643,80.3512278413009
flower/flower_gimp95.ppm ,461.6015625,13.1607006854532,33.659682198104,39.6041314718214,0.976103377446231,87.6690384355636,79.345502910553
flower/flower_gimp96.ppm ,579.189453125,10.4887959668853,33.5027866154446,39.4619271966292,0.975364168577517,87.3873441981384,78.9400682447506
flower/flower_gimp97.ppm ,677.0986328125,8.97210495724375,34.2355257625402,40.1940109677539,0.978915454956192,88.8359495749707,80.9168237915721
flower/flower_gimp98.ppm ,857.8056640625,7.08202365000632,34.1654067484413,40.1247024705797,0.978314188346095,88.6989590989251,80.5769523716122
flower/flower_gimp99.ppm ,1489.5634765625,4.07837604478556,32.3723899743262,38.3322155242728,0.964955824447819,85.1418985405149,73.5516719727877
flower/flower_gimp100.ppm,1633.5537109375,3.71888598417345,36.4452880964048,42.4081956890964,0.98715108885032,93.2023296373474,85.7941614996482
