SNR,PSNR,SSIM,PSNR2MOS,SSIM2MOS
24.7974794023543,32.412835676138,0.965600861387731,72.1548386792626,73.8688715911428
25.6413186576175,31.0175634987917,0.92181946060073,67.9150682178162,56.4894855768612
29.5897604540209,40.1118242691621,0.988539599329685,88.6735018114861,86.6587603462096
24.4565028048274,31.4435880646496,0.964383721818016,69.316891530064,73.2721157676237
36.0781405635081,42.0286629071765,0.986955200948369,92.4548490220408,85.6731962706469
23.7011330171537,25.8971665421124,0.937756249773286,43.3467321099413,61.9346714522972
18.579177813409,27.5117734051238,0.95195653224329,51.7716023085317,67.5922146618163
28.7344023014614,34.1286652599214,0.969428805315868,76.3814604523146,75.7958010565394
26.3698251757326,32.7509543525934,0.924722849741955,73.0529898943416,57.4172320406715
35.1871626916331,39.8668311967723,0.97499501593127,88.1890085425102,78.7387693106264
