SNR,PSNR,SSIM,PSNR2MOS,SSIM2MOS
28.3677542656461,35.968481007135,0.982251479706237,80.3507033269717,82.8419191124426
29.3896388111709,34.7537087099134,0.967394044963346,77.77140571824,74.7619617222515
31.6671854563205,42.187625331228,0.992826746928102,92.7679535175031,89.4091693237124
28.2594480858325,35.2321270336574,0.983119816591547,78.8028259776137,83.3541382562826
38.4094302960701,44.3598214112262,0.992303580593012,97.0431630597133,89.0668673859611
27.6825891554609,29.8528535967173,0.978103903755386,63.4645712315221,80.4585911443976
23.467248271924,32.3391975798515,0.983143851794438,71.9537058715072,83.3683826742072
33.5034864613313,38.8919241324102,0.988048251048256,86.2563079842697,86.3513665148901
30.7311268540377,37.1032573745045,0.96920692758114,82.674084144648,75.6819983870259
39.1267566733879,43.8061027704775,0.98984409223355,95.9537766055537,87.4825975811268
