SNR,PSNR,SSIM,PSNR2MOS,SSIM2MOS
30.3557791411499,37.9266068013641,0.989657473202434,84.3311742183616,87.3640482567641
34.2281569087436,39.5901580345965,0.986667684699529,87.6413656387947,85.4960979399257
30.3138231392219,40.8080884320916,0.989935276168173,90.0486094772636,87.5406064452316
31.4161911512346,38.3796406784863,0.992013467488714,85.2365025446661,88.877858085079
32.7496951749337,38.6329312577884,0.990411873591593,85.7411832914347,87.8447102123516
31.4511923961253,33.587477522323,0.991407331149187,75.1261990459876,88.4848112095858
28.9053408758095,37.6512449974756,0.991464961555703,83.7788945938404,88.5220739747249
36.1773085435553,41.5814089315218,0.991456513700224,91.573614892171,88.5166103364586
34.317362036716,40.7073526590868,0.987274539240276,89.8497993217761,85.8705226867569
37.5979544077579,42.2844897040869,0.991393057687292,92.9587219271389,88.475585731911
