SNR,PSNR,SSIM,PSNR2MOS,SSIM2MOS
29.0601550784923,36.631753967338,0.982181039697967,81.7156693607936,82.8005716224329
31.710912266089,37.072552161349,0.97775797182314,82.6119139778938,80.2644451255421
29.8432093128834,40.3375756128509,0.98794874972758,89.1196237163823,86.2893098841964
30.2563648399337,37.2202639496164,0.988854100596822,82.9107140652112,86.8563497006178
32.410773003384,38.2941410149652,0.98756999746635,85.0659206334569,86.0536826532748
31.1684288447955,33.3086360354734,0.987934554997712,74.4555238341399,86.2804622434858
28.5480620320418,37.2921376432873,0.990233125256844,83.0558590076084,87.7304775343844
35.6296216737867,41.0334920904082,0.98998717512418,90.4933171292028,87.5736480126338
32.5499056254248,38.9400517037903,0.978806457427756,86.3519395636443,80.8550530697289
37.2123034209286,41.8988763953693,0.990016589720601,92.1991741406097,87.5923828606328
