SNR,PSNR,SSIM,PSNR2MOS,SSIM2MOS
25.1435239533292,32.7190471484766,0.960996002764127,72.9699171154794,71.6503963201658
24.9758427118973,30.3418111921406,0.906482027166423,65.4518165807089,52.0112265221253
28.4107920754991,38.9075103407084,0.983429479969938,86.2872814509155,83.5379346715727
25.9202719624907,32.8921891383893,0.969016038735398,73.4167895302678,75.5843007783551
31.735649308693,37.6202295624952,0.981945748514003,83.7165791910069,82.6626793797957
26.7649257290307,28.9258226542166,0.936202698477781,59.2056657235411,61.3642505481007
21.197781443935,29.9547017497941,0.945235235921191,63.8933598061835,64.8113384819096
30.8206699267837,36.2258611374511,0.972189563086427,80.8830916945597,77.2340812039804
26.0280607616953,32.4209872163431,0.910482422288467,72.1769760992527,53.1143541691802
34.4886680266718,39.1773892483263,0.976409186451559,86.8231595107114,79.5141492743405
