SNR,PSNR,SSIM,PSNR2MOS,SSIM2MOS
32.7107028141193,40.3056822371917,0.99440916296007,89.0566142215562,90.4560405865086
34.7428508683025,40.100918287038,0.989704848566924,88.6519423797814,87.3941213713251
35.6791071006414,46.1980412410363,0.997183027058396,100.658721567729,92.3336130619648
32.3086019632146,39.2738238597104,0.99296259344511,87.0144568103403,89.4983599893549
42.6903586695304,48.6404599846107,0.997794248337614,105.461682947129,92.7547378089073
30.4197154159349,32.5783995704533,0.990986556866912,72.5996543891596,88.2134281093131
29.790122621089,38.6271634393895,0.995861030901236,85.7297012997013,91.4319610072016
38.2595174103896,43.645599430882,0.995506928388713,95.6379631924166,91.1925664041726
36.0064073853714,42.3744651559524,0.990569377593135,93.1359083998944,87.9455439997344
43.1097619816207,47.7890534061013,0.996883541110899,103.787472615762,92.128254664558
