SNR,PSNR,SSIM,PSNR2MOS,SSIM2MOS
30.2366963073444,37.8342215363154,0.988869482508326,84.1460683296549,86.8660303112456
31.7122376278153,37.0729375419813,0.980326969632858,82.6126944680365,81.7231538078049
33.3113116970167,43.8313643508168,0.995033120091014,96.0034806393396,90.8736320990408
30.1125451086871,37.081136524138,0.988516794169286,82.6292982447742,86.6444580528839
40.2149274566283,46.1652051892127,0.995303025558602,100.594145146905,91.0551189731289
29.1666268763778,31.3306848335463,0.985909862436708,68.9557545816074,85.0318608763805
26.3494348200933,35.203212983559,0.991003182570494,78.7411466714716,88.2241283212591
35.7519609030143,41.1390121836961,0.992291263209256,90.7014385327147,89.0588308815454
32.9467160673768,39.3165601049963,0.981000056780687,87.0992037833508,82.1118736621165
40.9993219668717,45.6785743548258,0.993952000725608,99.6370951809613,90.15180998964
